,ticker,name,sector,industry,price,market_cap_bn,fcf_yield_pct,forward_pe,trailing_pe,ps_ratio,roe_pct,roce_pct,gross_margin_pct,op_margin_pct,rev_growth_pct,debt_equity,above_200d,tier1_passes,multibagger_score,alpha_score,orig_score,composite_score
46,LOAR,Loar Holdings Inc.,Industrials,Aerospace & Defense,67.48,6.317779456,1.340987360987107,63.968147,89.973335,12.730195,6.375,4.419,53.418,24.576001,19.3,0.6173757891821436,False,1,26.4,0.0,80.6,34.8
47,PAYO,Payoneer Global Inc.,Technology,Software - Infrastructure,5.27,1.878440448,-0.7653889169234925,15.564548,27.736843,1.784277,10.2419995,0.9980001000000001,84.304,12.525,4.9,0.10386085705374969,False,1,26.4,7.8,71.2,34.3
48,ASAN,"Asana, Inc.",Technology,Software - Application,5.84,1.390434304,12.158251239463091,12.742189,,1.7582495,-99.059,-11.744000999999999,89.029,-0.9339999999999999,9.2,2.3730553032428183,False,1,26.4,0.0,78.7,34.2
49,ALKT,"Alkami Technology, Inc.",Technology,Software - Application,17.83,1.90811264,4.469468636820099,16.158413,,4.301048,-13.254,-4.721,57.84,-7.5920000000000005,34.699999999999996,1.0093198741900553,False,1,24.4,0.0,80.7,34.0
50,BILL,"BILL Holdings, Inc.",Technology,Software - Application,38.81,3.88708096,3.152709636384831,14.41101,,2.5045962,-0.636,-0.509,83.55900000000001,-4.2600001999999995,14.399999999999999,0.5007519651767744,False,0,10.0,24.3,75.4,33.9
51,SNOW,Snowflake Inc.,Technology,Software - Application,143.98,49.773883392,3.1893946379420974,59.294704,,10.626486,-53.908,-9.873999999999999,67.169,-33.236998,30.099999999999998,1.417188583446882,False,1,21.4,27.6,56.6,33.8
52,IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,Biotechnology,75.71,12.506687488,-1.237134102442842,-121.69873,,13.252667,-70.795,-7.309,1.291,-105.47299000000001,-10.299999999999999,5.287245482206929,True,0,5.0,100.0,0.0,32.0
53,CPNG,"Coupang, Inc.",Consumer Cyclical,Internet Retail,21.55,39.397527552,2.1409973782915217,39.197495,195.90909,1.140833,4.863999799999999,1.879,29.365000000000002,0.091,10.9,1.0941653633797916,False,0,7.0,23.0,68.1,30.1
54,VRNS,"Varonis Systems, Inc.",Technology,Software - Infrastructure,24.22,2.855472896,7.55555692026432,58.38536,,4.5795126,-24.531999,-5.2989996999999995,78.834,-17.073,9.4,0.8722514068700512,False,1,24.4,0.0,58.4,27.3
55,ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,6.11,4.581670912,-8.216161990466416,-5.860237,,15272.236,-41.834998,-26.294002,0.0,-78133.34,0.0,0.05490130105471615,False,1,14.4,30.3,0.0,14.8
56,RXRX,"Recursion Pharmaceuticals, Inc.",Healthcare,Biotechnology,3.78,1.996604672,-10.443817292640292,-4.4354744,,26.73511,-59.544,-27.718999999999998,0.0,-328.80301,681.7,0.06976756446740837,False,2,30.8,4.5,0.0,13.7
57,ZI,ZI,Default,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,1,11.4,,50.0,
58,ESMT,ESMT,Default,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,1,11.4,,50.0,
59,SQSP,SQSP,Default,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,1,11.4,,50.0,
60,CURO,CURO,Default,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,1,11.4,,50.0,
61,BYON,BYON,Default,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,1,11.4,,50.0,
62,WEBR,WEBR,Default,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,1,11.4,,50.0,
63,CDEV,CDEV,Default,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,1,11.4,,50.0,
