ticker,alpha,beta,sharpe,ann_vol,ret_1m,ret_3m,ret_6m,ret_1y,momentum,ma50_score,ma200_score,composite_score,vol_trend
F,0.048888152745973114,1.0355813554547668,1.168640540414234,0.3031793818733515,0.09160304726042678,-0.05797350115872324,0.11903419175713115,,0.03200413673854606,0.019186753138835194,0.04482152033825693,0.36963637259182813,-0.2756784627640205
VNOM,0.0700067415466654,0.397526055501775,0.6228472274691421,0.3006313369574796,-0.036911283120458216,0.23084052716661252,0.2673709333148184,,0.08057716511240062,0.003533223682924555,0.1576211065418767,0.3690616676636339,-0.2744316347996072
DVA,0.08909220538498341,0.07676469187247269,0.31509153215469454,0.35460199670317544,-0.006181537039754104,0.39748685544084505,0.173888917953249,,0.051410254971123386,-0.01417647350774813,0.1169969834499949,0.36827454491249645,-0.1849438314162971
ITW,-0.04134525637075886,0.7345228302959061,0.8509839810732621,0.20597850597190603,0.05078564383502271,0.04617128077711996,0.11329400235676279,,0.022720750334228282,-0.01079552300299717,0.05623702367145374,0.367981828931544,-0.04951405171123635
LOVE,-0.4054951042247317,1.34111946154846,-0.017099843729901955,0.5827245176021697,0.649532704033053,0.10381487624599406,0.17666664123535192,,0.24263748886889594,0.3366351461297904,0.14863983160800148,0.3677488285335431,0.48125560419853364
UAL,-0.13707309339192955,2.1985980997127936,1.0638441472172002,0.4806625181015612,0.1004215836234319,-0.12256502329556374,-0.02162421849118945,,0.01812386499357293,0.022084279986618528,0.014163450000527326,0.36761230768134856,0.06347188137171433
YUM,0.06581573686780974,0.24426115185664374,0.6553605379888789,0.210349299206172,0.023192878950717644,0.015462654642727669,0.13704736373551185,,0.04900781867018694,0.016922212123350405,0.08109342521702348,0.3668228368403153,-0.10819573025450147
WYNN,0.031088250903538374,1.2574965122378228,1.1190548995054443,0.35919265411272056,0.07449320498152456,-0.06766503110008615,-0.07126937068324624,,-0.009840273596956738,0.03316812145929306,-0.05284866865320653,0.3663871126750278,-0.18751619160409538
COR,0.10628481652880813,0.118905909783061,0.5613442160017749,0.25181202917532414,0.007319038490739782,-0.07662646779892379,0.02831695522362976,,-0.020752073113333633,-0.04384952166722743,0.0023453754405601645,0.3660833293279928,0.08799753910952446
AXP,-0.05608870507640098,1.2465066574332377,1.1581733395518283,0.2689909550916441,0.13026451689924,-0.068924073166026,0.008521588745495023,,0.019310562875662293,0.046077529138477576,-0.007456403387152991,0.3660355431192933,-0.16307826018251492
DTE,0.07122043553392698,0.10919367913465866,0.6656329568819656,0.1553776109456313,-0.00020405945458035202,0.10046660104411065,0.04924472204082586,,0.04484999149978246,0.012774060040043701,0.0769259229595212,0.36584220223027075,-0.1909367106360339
CEG,0.07068808972301893,1.4349957012948966,1.0772970732152627,0.4584670509774274,-0.06623166787962886,-0.130694795986809,-0.26489097657577865,,-0.04857213556642067,-0.0023243215066725536,-0.09481994962616878,0.3656418325822618,-0.10321051523018632
HSY,0.16970537400270624,-0.026181206018251694,0.601047935832146,0.269502403448677,-0.09444338201675151,-0.03568475151783412,0.01977363387313713,,-0.05014053912573986,-0.11220709228317469,0.011926014031694963,0.36545461677631,0.00015508864693125624
AR,0.07302880024039753,0.2987746339247971,0.4110290257500834,0.39205289757571443,-0.1161445709596195,0.15418500669162571,0.14125703179041138,,0.005983190212449797,-0.04350637329707943,0.055472753721979025,0.3651894011161251,-0.010074314423278219
MTD,-0.06551231541066294,1.3040584363119845,1.0715844935494927,0.29777217145060625,0.125081753114608,-0.10425563829191264,0.02805211353886916,,0.019402008422597233,0.03217496066218643,0.0066290561830080336,0.3647379404687992,-0.09257040506359748
VST,0.02934917386299738,1.618699039673053,1.035304095654812,0.489465013701079,-0.037838038347388525,-0.0915584806554165,-0.22261699878986063,,-0.03475083811784392,0.017981940412737395,-0.08748361664842523,0.3645721592385352,-0.09726720322362847
UNP,-0.035101219906027936,0.6040788763172379,0.7219190285475099,0.19816234843413838,0.061588500715822114,0.09519077774483242,0.12497434262963658,,0.041457829243695496,-0.00144180041927,0.08435745890666099,0.36453851293338013,-0.10340258362567445
HESM,0.014492670472307637,0.27721736552603354,0.40595663473398397,0.2370972411715877,-0.040293973377550474,0.10889889927682606,0.20834120442274195,,0.0205780143953399,-0.015258703814691512,0.05641473260537131,0.3644998707621946,0.06044176706827309
FTV,-0.04157747916612858,0.8772437491879251,0.8146870930292099,0.2665370006092566,0.10357403882880445,0.09144708269092172,0.25086808046829856,,0.10313830846033348,0.0563416719656684,0.14993494495499857,0.364384042700934,-0.2704822719924488
GWW,-0.10749134464351655,0.9114602734408019,0.6590702726141783,0.24477165495146422,0.11198867982272764,0.09577591375869332,0.2191174135188778,,0.08667401993426221,0.039132551864126765,0.13421548800439767,0.36434816256058583,-0.06342872024265445
SYY,-0.04706170695805775,0.428160258739671,0.2957262576817515,0.2678617749202265,-0.06865861778520665,-0.02949004948921996,-0.03343414880061257,,-0.04753664059024666,-0.07173100649154031,-0.023342274688953012,0.3639454978761239,0.4279295633089246
PLTR,0.0011588091625967002,1.9424545199700025,1.0798871694794125,0.5315727410889052,-0.041762156865780886,-0.17326484817044496,-0.1850016514356273,,-0.0440657244887271,0.02050063412030464,-0.10863208309775885,0.3637673906115739,-0.0253499291768704
NU,-0.025105502059228665,1.3816991475464726,1.015970262912149,0.3763821743008915,0.09806727697725748,-0.07645998862710368,0.01054017418942621,,0.0021914794945995845,0.0063899958199026136,-0.0020070368307034446,0.36325020387616297,-0.11966810267439976
ECL,-0.03480005503696351,0.6296802310653905,0.7668199005400059,0.1967982736246905,0.04949584340183821,-0.007898124484649438,0.009532129328783556,,-0.0062796557018412105,-0.02347739603772958,0.01091808463404716,0.3626579771733308,0.004359900099978109
DDOG,0.02208578919877488,1.4543964510642624,0.8239235964022692,0.5474108199844312,-0.03542582729760979,0.047575707189823735,-0.20878641901060813,,-0.013205616720555698,0.06012866749021451,-0.08653990093132591,0.3625776467193684,-0.13081702542278772
ORCL,0.010564481407683873,1.6364038006104995,0.8008377855235257,0.6158326180030365,0.14893018711585881,-0.07468311612518308,-0.4198807999875409,,-0.011871336454793727,0.1584226566423135,-0.18216532955190096,0.3625727846270489,-0.01568177689109429
AFL,0.0057752527274604025,0.22684280518823743,0.41538836644441707,0.17496163448307753,0.06115639905579928,0.05034625946224591,0.053902687196932364,,0.044015567679625806,0.028002497471678697,0.06002863788757291,0.36238776750379226,0.02964237824109084
ACGL,0.031403922597053074,0.0774166403366537,0.2564512918036506,0.21148686613738382,0.05082366158842766,0.07312506837427324,0.08953887094330004,,0.031050853014128518,0.007532457709722225,0.05456924831853481,0.36207691948182236,0.09969291249510936
VMC,-0.032040810756402485,0.8174006232881259,0.8287973305184192,0.25221081038615484,0.1312728148082576,-0.03131264733619765,-0.03410772094156822,,0.008007272816934155,0.009100597605259097,0.0069139480286092144,0.3620610022178197,-0.057426212436121116
CMS,0.062160905690884526,0.01562880645392803,0.41911727947838934,0.15931159549125004,0.0034847267858597597,0.0989313970170218,0.0479905810043173,,0.042810046923851014,0.01359705579947855,0.07202303804822348,0.362048399544087,-0.08172548288061288
HYLN,0.006071653789809613,2.3032683157417124,0.7614649393474879,0.9000607328741046,0.04712043714733816,-0.10313902112388496,-0.1999999999999985,,0.04413234608084759,0.031991749398313826,0.05627294276338135,0.3618722066924661,-0.08289895171982176
OKE,0.010458617872023976,0.15380944118512208,0.21892268020193706,0.2549803249342937,-0.031094097102476126,0.15410820028961814,0.2474686951068139,,0.034344121842914965,-0.03384043002164661,0.10252867370747655,0.3618211368046306,0.07996591105314321
IIPR,-0.06395136728460249,0.8925209797571352,0.5295745062750689,0.37629457567454994,0.027244220100936856,0.08243758098546738,0.02453542515822682,,0.07999844488761966,0.06885362249393667,0.09114326728130265,0.36178607433831095,-0.05578562963726297
EXEL,0.03248491882113798,0.8282552144657092,0.6367011906704106,0.43467591704157005,0.08797870130355157,-0.012103856815199654,0.12140896224221387,,0.06049156443644886,0.04357487551321711,0.07740825335968061,0.3616244538648806,-0.1397219562559121
